date,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E.1,Type 2 Departments - Single Specialty.1,Type 3 Departments - Other A&E/Minor Injury Unit.1,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3)
2021-06-01,920100.0,31075.0,608622.0,1559797.0,337587.0,603.0,20648.0,358838.0,0.8129722432875456,0.7315810690577226,0.9809647073678894,0.967187375848205
2021-07-01,846949.0,31365.0,614804.0,1493118.0,405163.0,853.0,21987.0,428003.0,0.7772118466249653,0.6764163269739448,0.9735241169532559,0.9654721878921028
2021-08-01,777084.0,32014.0,585840.0,1394938.0,397235.0,796.0,18246.0,416277.0,0.7701669873537929,0.6617316078510184,0.9757391039317281,0.9697956913419612
2021-09-01,778556.0,32276.0,610321.0,1421153.0,438530.0,912.0,28768.0,468210.0,0.7521863188810197,0.6396885676114917,0.9725201880197661,0.954985925278013
2021-10-01,768883.0,31772.0,622226.0,1422881.0,472548.0,850.0,28244.0,501642.0,0.7393421642661584,0.6193521830854877,0.9739439641959414,0.9565790889664396
2021-11-01,724210.0,31218.0,589324.0,1344752.0,445743.0,872.0,24365.0,470980.0,0.7406114999350124,0.6190077721070847,0.9728264256777812,0.9602974796680404
2021-12-01,669334.0,27991.0,527762.0,1225087.0,423880.0,809.0,18558.0,443247.0,0.7343175886842802,0.6122625579255296,0.9719097222222223,0.9660308976424073
2022-01-01,678684.0,29204.0,531539.0,1239427.0,410646.0,933.0,16025.0,427604.0,0.7434936722832389,0.6230288342375588,0.9690413777084647,0.9707340146539948
2022-02-01,641197.0,30159.0,518319.0,1189675.0,412179.0,1128.0,20480.0,433787.0,0.732801260516107,0.6087066726411082,0.963946687122447,0.9619895359865182
2022-03-01,729899.0,33382.0,624812.0,1388093.0,514135.0,1157.0,34481.0,549773.0,0.7162997854340806,0.5867194948048043,0.966501635831958,0.9477000362509537
